epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,124.751,0.86653,0.98806,1.04049,0.46115,0.91667,0.64969,0.37014,1.35378,1.95055,1.1643,0.0005512,0.0005512,0.0005512
70,126.854,0.88658,0.97641,1.03173,0.53476,0.91667,0.77635,0.4345,1.3006,1.82694,1.12763,0.0005446,0.0005446,0.0005446
71,128.913,0.91985,1.01817,1.0594,0.59767,0.91667,0.7903,0.48106,1.2502,1.73451,1.10604,0.000538,0.000538,0.000538
72,130.43,0.91571,1.04599,1.0602,0.5852,0.91667,0.78899,0.49551,1.20245,1.66636,1.11175,0.0005314,0.0005314,0.0005314
73,132.098,0.91509,1.04665,1.04028,0.5852,0.91667,0.78899,0.49551,1.20245,1.66636,1.11175,0.0005248,0.0005248,0.0005248
74,134.07,0.92261,0.96382,1.03638,0.63465,0.91667,0.80775,0.47315,1.17694,1.58655,1.10923,0.0005182,0.0005182,0.0005182
75,136.054,0.97594,1.10954,1.06834,0.60329,0.91667,0.8806,0.46342,1.17968,1.46857,1.11922,0.0005116,0.0005116,0.0005116
76,138.076,0.88982,0.99397,1.04352,0.50664,0.81667,0.77197,0.44783,1.18338,1.49354,1.13789,0.000505,0.000505,0.000505
77,140.272,0.86329,1.0366,1.03397,0.49151,0.91667,0.81313,0.46751,1.20668,1.45826,1.16318,0.0004984,0.0004984,0.0004984
78,142.325,0.84341,1.02849,1.03205,0.52003,0.89306,0.6953,0.45136,1.18911,1.40496,1.16724,0.0004918,0.0004918,0.0004918
79,144.506,0.89702,0.97183,1.05584,0.52003,0.89306,0.6953,0.45136,1.18911,1.40496,1.16724,0.0004852,0.0004852,0.0004852
80,146.578,0.83838,0.98532,1.05939,0.51398,0.79037,0.69302,0.45079,1.18044,1.37428,1.16763,0.0004786,0.0004786,0.0004786
81,148.56,0.84304,0.97743,1.01117,0.53685,0.78691,0.71408,0.46601,1.14979,1.35974,1.15181,0.000472,0.000472,0.000472
82,150.605,0.83486,0.96498,1.04034,0.54991,0.88265,0.72417,0.482,1.14091,1.40408,1.10714,0.0004654,0.0004654,0.0004654
83,152.807,0.85526,0.94594,1.02828,0.52804,0.85,0.93095,0.52546,1.14244,1.3994,1.07822,0.0004588,0.0004588,0.0004588
84,154.803,0.79654,0.91501,1.01241,0.52804,0.85,0.93095,0.52546,1.14244,1.3994,1.07822,0.0004522,0.0004522,0.0004522
85,156.295,0.88112,0.9833,1.06567,0.50567,0.91667,0.93095,0.58871,1.16368,1.37875,1.08272,0.0004456,0.0004456,0.0004456
86,157.612,0.85392,0.97474,1.02632,0.53649,0.93761,0.87479,0.54551,1.15763,1.3856,1.09796,0.000439,0.000439,0.000439
87,159.424,0.84099,0.89108,1.02274,0.53246,0.92406,0.87002,0.54893,1.16525,1.41647,1.10677,0.0004324,0.0004324,0.0004324
88,161.363,0.81426,0.97678,1.03626,0.48988,0.91667,0.85058,0.48616,1.13818,1.39869,1.11906,0.0004258,0.0004258,0.0004258
89,163.166,0.81244,0.93466,0.99424,0.48988,0.91667,0.85058,0.48616,1.13818,1.39869,1.11906,0.0004192,0.0004192,0.0004192
90,165.136,0.84467,0.97072,1.0209,0.50757,0.91667,0.88467,0.49059,1.18298,1.36514,1.15255,0.0004126,0.0004126,0.0004126
91,166.405,0.7786,0.9177,0.98842,0.5127,0.91667,0.84096,0.46673,1.19915,1.29277,1.15817,0.000406,0.000406,0.000406
92,167.645,0.8217,0.89707,0.99403,0.8234,0.65,0.89124,0.51888,1.19968,1.21122,1.16175,0.0003994,0.0003994,0.0003994
93,169.535,0.80852,0.8806,1.00087,0.81671,0.65,0.89304,0.51028,1.21483,1.21388,1.17198,0.0003928,0.0003928,0.0003928
